Created as New Dataset,
nm,A
850.0,0.9834
849.0,0.9836
848.0,0.9828
847.0,0.9844
846.0,0.9849
845.0,0.9758
844.0,0.9759
843.0,0.9760
842.0,0.9755
841.0,0.9773
840.0,0.9762
839.0,0.9750
838.0,0.9695
837.0,0.9726
836.0,0.9730
835.0,0.9725
834.0,0.9768
833.0,0.9736
832.0,0.9688
831.0,0.9730
830.0,0.9688
829.0,0.9724
828.0,0.9721
827.0,0.9711
826.0,0.9693
825.0,0.9732
824.0,0.9708
823.0,0.9741
822.0,0.9735
821.0,0.9726
820.0,0.9732
819.0,0.9719
818.0,0.9728
817.0,0.9677
816.0,0.9690
815.0,0.9706
814.0,0.9723
813.0,0.9706
812.0,0.9719
811.0,0.9738
810.0,0.9713
809.0,0.9733
808.0,0.9731
807.0,0.9707
806.0,0.9724
805.0,0.9713
804.0,0.9730
803.0,0.9713
802.0,0.9709
801.0,0.9731
800.0,0.9734
799.0,0.9720
798.0,0.9723
797.0,0.9722
796.0,0.9713
795.0,0.9743
794.0,0.9724
793.0,0.9751
792.0,0.9739
791.0,0.9747
790.0,0.9739
789.0,0.9762
788.0,0.9734
787.0,0.9746
786.0,0.9752
785.0,0.9775
784.0,0.9767
783.0,0.9779
782.0,0.9761
781.0,0.9760
780.0,0.9775
779.0,0.9771
778.0,0.9773
777.0,0.9786
776.0,0.9784
775.0,0.9787
774.0,0.9763
773.0,0.9764
772.0,0.9775
771.0,0.9796
770.0,0.9794
769.0,0.9791
768.0,0.9790
767.0,0.9784
766.0,0.9798
765.0,0.9802
764.0,0.9798
763.0,0.9798
762.0,0.9810
761.0,0.9802
760.0,0.9825
759.0,0.9821
758.0,0.9826
757.0,0.9816
756.0,0.9815
755.0,0.9825
754.0,0.9819
753.0,0.9827
752.0,0.9829
751.0,0.9829
750.0,0.9821
749.0,0.9837
748.0,0.9827
747.0,0.9837
746.0,0.9834
745.0,0.9833
744.0,0.9843
743.0,0.9845
742.0,0.9849
741.0,0.9845
740.0,0.9846
739.0,0.9856
738.0,0.9865
737.0,0.9853
736.0,0.9849
735.0,0.9846
734.0,0.9853
733.0,0.9857
732.0,0.9860
731.0,0.9864
730.0,0.9851
729.0,0.9857
728.0,0.9854
727.0,0.9862
726.0,0.9872
725.0,0.9863
724.0,0.9864
723.0,0.9874
722.0,0.9874
721.0,0.9871
720.0,0.9874
719.0,0.9886
718.0,0.9894
717.0,0.9881
716.0,0.9888
715.0,0.9884
714.0,0.9874
713.0,0.9883
712.0,0.9888
711.0,0.9892
710.0,0.9893
709.0,0.9892
708.0,0.9893
707.0,0.9891
706.0,0.9902
705.0,0.9905
704.0,0.9889
703.0,0.9881
702.0,0.9874
701.0,0.9875
700.0,0.9884
699.0,0.9894
698.0,0.9888
697.0,0.9887
696.0,0.9899
695.0,0.9905
694.0,0.9902
693.0,0.9899
692.0,0.9906
691.0,0.9906
690.0,0.9901
689.0,0.9902
688.0,0.9901
687.0,0.9906
686.0,0.9911
685.0,0.9907
684.0,0.9909
683.0,0.9909
682.0,0.9905
681.0,0.9910
680.0,0.9909
679.0,0.9911
678.0,0.9912
677.0,0.9909
676.0,0.9913
675.0,0.9924
674.0,0.9922
673.0,0.9915
672.0,0.9920
671.0,0.9923
670.0,0.9922
669.0,0.9925
668.0,0.9927
667.0,0.9923
666.0,0.9930
665.0,0.9923
664.0,0.9918
663.0,0.9923
662.0,0.9923
661.0,0.9925
660.0,0.9925
659.0,0.9927
658.0,0.9929
657.0,0.9931
656.0,0.9934
655.0,0.9928
654.0,0.9925
653.0,0.9926
652.0,0.9922
651.0,0.9922
650.0,0.9931
649.0,0.9933
648.0,0.9933
647.0,0.9944
646.0,0.9937
645.0,0.9934
644.0,0.9938
643.0,0.9941
642.0,0.9936
641.0,0.9944
640.0,0.9956
639.0,0.9940
638.0,0.9942
637.0,0.9934
636.0,0.9940
635.0,0.9946
634.0,0.9946
633.0,0.9948
632.0,0.9944
631.0,0.9944
630.0,0.9939
629.0,0.9944
628.0,0.9936
627.0,0.9938
626.0,0.9939
625.0,0.9945
624.0,0.9947
623.0,0.9940
622.0,0.9942
621.0,0.9945
620.0,0.9946
619.0,0.9944
618.0,0.9944
617.0,0.9950
616.0,0.9948
615.0,0.9948
614.0,0.9950
613.0,0.9950
612.0,0.9950
611.0,0.9950
610.0,0.9953
609.0,0.9947
608.0,0.9943
607.0,0.9949
606.0,0.9950
605.0,0.9944
604.0,0.9951
603.0,0.9952
602.0,0.9948
601.0,0.9954
600.0,0.9949
599.0,0.9953
598.0,0.9946
597.0,0.9950
596.0,0.9953
595.0,0.9947
594.0,0.9948
593.0,0.9938
592.0,0.9949
591.0,0.9951
590.0,0.9950
589.0,0.9952
588.0,0.9961
587.0,0.9954
586.0,0.9953
585.0,0.9949
584.0,0.9954
583.0,0.9954
582.0,0.9948
581.0,0.9945
580.0,0.9952
579.0,0.9958
578.0,0.9957
577.0,0.9950
576.0,0.9955
575.0,0.9955
574.0,0.9957
573.0,0.9959
572.0,0.9966
571.0,0.9958
570.0,0.9948
569.0,0.9953
568.0,0.9949
567.0,0.9964
566.0,0.9959
565.0,0.9951
564.0,0.9956
563.0,0.9951
562.0,0.9948
561.0,0.9969
560.0,0.9975
559.0,0.9956
558.0,0.9966
557.0,0.9961
556.0,0.9964
555.0,0.9964
554.0,0.9969
553.0,0.9969
552.0,0.9966
551.0,0.9968
550.0,0.9968
549.0,0.9965
548.0,0.9963
547.0,0.9969
546.0,0.9968
545.0,0.9969
544.0,0.9973
543.0,0.9963
542.0,0.9961
541.0,0.9959
540.0,0.9960
539.0,0.9969
538.0,0.9967
537.0,0.9964
536.0,0.9975
535.0,0.9972
534.0,0.9967
533.0,0.9963
532.0,0.9970
531.0,0.9975
530.0,0.9967
529.0,0.9964
528.0,0.9974
527.0,0.9972
526.0,0.9976
525.0,0.9970
524.0,0.9978
523.0,0.9974
522.0,0.9982
521.0,0.9982
520.0,0.9981
519.0,0.9986
518.0,0.9987
517.0,0.9997
516.0,0.9999
515.0,1.0005
514.0,1.0008
513.0,1.0014
512.0,1.0020
511.0,1.0024
510.0,1.0031
509.0,1.0042
508.0,1.0049
507.0,1.0047
506.0,1.0053
505.0,1.0062
504.0,1.0069
503.0,1.0077
502.0,1.0076
501.0,1.0075
500.0,1.0077
